_id	AnnoS	AteneoCOD	AteneoNOME	ClasseNUMERO	CorsoNOME	SedeC	SedeP	Sesso	Lau
14746	2018	5812	Roma Europea	L-18	Economia e Gestione Aziendale	ROMA	58	M	25
14747	2018	5815	Roma UNICUSANO - telematica	L-18	Economia Aziendale e Management	ROMA	58	M	25
14748	2018	6302	Napoli Parthenope	L-09	Ingegneria Gestionale	NAPOLI	63	M	25
14749	2018	6302	Napoli Parthenope	LM-56	Scienze Economiche e Finanziarie	NAPOLI	63	F	25
14750	2018	6301	Napoli Federico II	L-09	Corso di Laurea in Ingegneria Navale	NAPOLI	63	M	25
14751	2018	6301	Napoli Federico II	L-07	Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	NAPOLI	63	M	25
14752	2018	6301	Napoli Federico II	L-23	Corso di Laurea in Ingegneria Edile	NAPOLI	63	M	25
14753	2019	1504	Milano Cattolica	L-12	Scienze Linguistiche	BRESCIA	17	M	25
14754	2019	1505	Milano IULM	L-15	Turismo: Cultura e Sviluppo dei Territori	MILANO	15	M	25
14755	2019	1504	Milano Cattolica	LM-78	Filosofia	MILANO	15	F	25
14756	2019	1504	Milano Cattolica	LM-83	Scienze Statistiche, Attuariali ed Economiche	MILANO	15	M	25
14757	2019	1504	Milano Cattolica	LM-85	Scienze Pedagogiche	MILANO	15	F	25
14758	2019	1504	Milano Cattolica	LM-67	Scienze e Tecniche delle Attività Motorie Preventive e Adattate	MILANO	15	F	25
14759	2019	1504	Milano Cattolica	LM-69	Scienze e Tecnologie Agrarie	PIACENZA	33	M	25
14760	2019	1504	Milano Cattolica	LM/SNT2	Scienze Riabilitative delle Professioni Sanitarie	ROMA	58	F	25
14761	2019	1502	Milano Politecnico	L-09	Ingegneria Gestionale	CREMONA	19	M	25
14762	2019	1502	Milano Politecnico	L-17	Progettazione dellArchitettura	MANTOVA	20	F	25
14763	2019	1502	Milano Politecnico	L-17	Progettazione dellArchitettura	MANTOVA	20	M	25
14764	2019	1508	Milano San Raffaele	L-05	Filosofia	MILANO	15	M	25
